SubjectID,Group,Pre_Trap,Pre_Boundary,Pre_Scaffold,Pre_Iterative,Pre_Sovereignty,Pre_TII_Total,Pre_General_CT,Pre_AI_Dependence,Pre_MAI,Post_Trap,Post_Boundary,Post_Scaffold,Post_Iterative,Post_Sovereignty,Post_TII_Total,Post_General_CT,Post_AI_Dependence,Post_MAI,Gain_Trap,Gain_Boundary,Gain_Scaffold,Gain_Iterative,Gain_Sovereignty,Gain_TII_Total,Gain_General_CT,Gain_AI_Dependence,Gain_MAI,Transfer_Error_Detection_Raw,Transfer_Error_Detection_Rate,Transfer_Offloading_Raw,Transfer_Offloading_Rate,Behavior_Offloading_Raw,Behavior_Offloading_Rate
161,CTI,19,19,15,17,13,83,44,41,32,27,23,20,26,22,118,45,27,42,8,4,5,9,9,35,1,-14,10,10,1.0,8,0.8,4,0.2
162,CTI,16,13,15,17,13,74,37,40,50,21,10,16,22,16,85,50,29,55,5,-3,1,5,3,11,13,-11,5,10,1.0,8,0.8,5,0.25
163,CTI,17,20,14,15,16,82,60,59,38,25,18,17,16,16,92,58,48,47,8,-2,3,1,0,10,-2,-11,9,8,0.8,7,0.7,5,0.25
164,No_Intervention,15,14,17,16,16,78,60,67,50,24,16,13,16,15,84,56,70,50,9,2,-4,0,-1,6,-4,3,0,3,0.3,2,0.2,12,0.6
165,No_Intervention,19,18,18,14,18,87,65,57,37,19,21,17,12,16,85,68,62,46,0,3,-1,-2,-2,-2,3,5,9,2,0.2,6,0.6,10,0.5
166,No_Intervention,16,14,15,18,13,76,43,70,48,15,16,16,20,12,79,41,55,48,-1,2,1,2,-1,3,-2,-15,0,1,0.1,3,0.3,14,0.7
167,No_Intervention,19,16,17,14,11,77,57,63,34,20,18,22,13,7,80,54,51,37,1,2,5,-1,-4,3,-3,-12,3,2,0.2,5,0.5,12,0.6
168,No_Intervention,17,12,14,15,13,71,39,50,43,15,6,13,17,10,61,40,44,49,-2,-6,-1,2,-3,-10,1,-6,6,4,0.4,3,0.3,13,0.65
169,Active_Control,14,15,16,19,16,80,65,70,27,15,9,20,17,18,79,65,56,33,1,-6,4,-2,2,-1,0,-14,6,4,0.4,4,0.4,8,0.4
170,CTI,15,12,13,15,15,70,70,70,51,16,14,13,17,20,80,66,46,58,1,2,0,2,5,10,-4,-24,7,10,1.0,9,0.9,1,0.05
171,No_Intervention,18,15,15,16,18,82,43,70,41,17,8,12,14,19,70,43,68,36,-1,-7,-3,-2,1,-12,0,-2,-5,4,0.4,1,0.1,13,0.65
172,CTI,18,12,15,15,17,77,45,51,38,23,18,26,17,23,107,49,48,46,5,6,11,2,6,30,4,-3,8,10,1.0,8,0.8,6,0.3
173,No_Intervention,14,19,15,13,16,77,50,66,41,12,18,12,15,19,76,45,63,47,-2,-1,-3,2,3,-1,-5,-3,6,3,0.3,0,0.0,8,0.4
174,No_Intervention,19,18,16,13,17,83,42,15,36,19,18,19,12,18,86,43,10,43,0,0,3,-1,1,3,1,-5,7,2,0.2,3,0.3,13,0.65
175,No_Intervention,16,16,17,13,14,76,58,62,52,18,16,17,16,10,77,61,57,55,2,0,0,3,-4,1,3,-5,3,4,0.4,2,0.2,14,0.7
176,Active_Control,19,16,17,13,15,80,39,55,44,21,11,18,10,15,75,38,58,47,2,-5,1,-3,0,-5,-1,3,3,4,0.4,5,0.5,11,0.55
177,Active_Control,18,16,14,17,16,81,52,35,34,18,15,18,7,16,74,53,32,34,0,-1,4,-10,0,-7,1,-3,0,5,0.5,2,0.2,10,0.5
178,No_Intervention,15,15,14,13,17,74,44,58,41,14,17,14,14,15,74,45,64,42,-1,2,0,1,-2,0,1,6,1,2,0.2,3,0.3,11,0.55
179,No_Intervention,16,16,17,19,15,83,35,54,43,19,15,20,21,25,100,43,61,47,3,-1,3,2,10,17,8,7,4,6,0.6,1,0.1,11,0.55
180,CTI,15,17,12,16,13,73,29,41,44,17,19,13,28,16,93,35,20,52,2,2,1,12,3,20,6,-21,8,9,0.9,8,0.8,1,0.05
