ID,Trap,Boundary,Scaffold,Iterative,Sovereignty,TII_Total,MAI_Knowledge,MAI_Process,BPNS_Autonomy,BPNS_Competence,BPNS_Relatedness,EAS_Construction,EAS_Evaluation,EAS_Integration,AILST_Operational,AILST_Ethical,AILST_Application,AILST_Total,NFCC_Decisiveness,NFCC_Closedmindedness,Defense,Construction
164,16,15,18,25,19,93,15,18,13,14,20,15,19,18,2.2429804091702836,4.496337643371912,4.733315486903668,3.82,1.9388594358835394,1.3915339395168906,0.242,0.629
165,17,19,18,21,14,89,24,20,20,22,22,21,15,22,4.412692126024026,5.447442267238225,4.577185974345136,4.81,3.2818421087448924,5.187820257908606,0.51,0.554
166,11,15,14,15,11,66,19,22,23,15,11,10,9,8,5.163106428259239,3.604899554494419,4.185425040741289,4.32,2.6768825439256814,3.2463106697775275,0.38,0.986
167,20,20,22,16,22,100,25,24,25,14,12,26,16,22,4.715865063613959,3.1379930668566764,4.772730233015036,4.21,3.6626501093631423,3.829235316426474,0.448,0.732
168,16,20,13,16,15,80,28,33,19,13,10,10,18,19,4.772479113268693,5.972556559218331,3.791620565416164,4.85,4.295310542102112,3.273466933296142,0.981,0.777
169,18,15,16,15,16,80,19,6,19,19,15,20,16,17,5.37689183956304,2.746768711643019,3.3471602867203627,3.82,1.971003092181073,3.153005416074566,0.35,0.872
170,14,13,20,19,10,76,15,26,17,20,17,24,17,17,3.185619946123314,4.353101576024407,1.8187640312935671,3.12,5.296736211043674,4.450310109224419,0.452,0.216
171,16,17,17,20,23,93,15,30,23,15,19,15,15,21,2.8745963823960876,5.2385423233802735,5.8066387858322654,4.64,5.223964355448631,1.617010980714338,0.134,0.084
172,18,13,19,20,18,88,16,8,19,16,15,23,22,21,3.79774136171639,2.432702021755566,3.206800758281106,3.15,3.420010649407536,3.2347543411773696,0.048,0.483
173,18,9,16,18,12,73,20,15,15,15,14,19,13,12,2.827135395526839,4.771813000485729,2.9415097625348015,3.51,3.3163712711395346,3.3735219936578176,0.775,0.514
174,15,15,17,19,20,86,20,19,19,13,16,16,22,20,3.209014161807741,3.013024037053945,3.8794842258264906,3.37,5.7850868872587515,1.4997764615861267,0.571,0.829
175,15,17,19,14,16,81,20,15,14,23,12,16,12,16,4.392764448107956,4.681975498692923,4.708449882718951,4.59,2.3470041419178536,3.672244454707471,0.761,0.444
176,9,10,15,14,13,61,20,13,15,14,24,8,13,13,4.0632218075598,2.4882675048455654,5.4264966609035215,3.99,3.8334327075700623,3.3842005051531974,0.15,0.571
177,10,8,11,12,12,53,16,10,9,19,9,15,9,14,3.201522556104851,4.26688948963916,2.0238876259637943,3.16,4.066680353458401,3.606886364578789,0.572,0.527
178,9,12,9,15,13,58,23,29,15,19,16,6,14,12,4.164053536059392,5.157421785653492,1.645718695406337,3.66,5.044772001215926,2.399805638566696,0.254,0.038
179,17,14,13,19,13,76,19,26,12,19,24,16,23,22,6.142244943718164,5.367823386998605,3.4335894831841167,4.98,4.143921330160738,5.312445906347431,0.228,0.615
180,18,13,12,15,15,73,33,27,13,13,16,13,19,17,3.5954028421719153,4.107503550223326,3.963681552110779,3.89,3.184365684434851,4.345045424698509,0.012,0.828
181,18,13,13,14,12,70,23,24,16,16,15,18,20,12,4.285113729562564,3.3868550073083705,3.59668782420164,3.76,3.0329082955102993,4.772520712111435,0.13,0.158
182,14,11,17,17,20,79,14,12,24,16,14,17,20,14,3.1050337447342593,3.3458314058079064,4.447310797529805,3.63,2.890622202108445,2.5550708165213565,0.309,0.594
183,18,15,16,20,18,87,15,18,21,13,15,16,15,18,3.342116919952726,6.244489084631912,4.316837320047556,4.63,2.457429209032534,1.2992606547806065,0.117,0.594
184,14,17,17,17,15,80,21,25,11,18,21,22,16,21,3.9380892317660927,3.1946121195930877,4.327655856658556,3.82,3.683933202325541,5.463918944538845,0.986,0.164
185,11,11,17,13,16,68,16,11,14,12,7,20,12,17,3.138845836291269,2.26916494797859,5.216162078714594,3.54,3.0370094029714485,3.257861611130319,0.309,0.123
186,23,14,19,24,21,101,26,24,23,22,22,21,28,16,4.52803329379472,5.765276336281161,3.078751613255406,4.46,1.7498580491409674,1.9819482874426644,0.13,0.98
187,16,22,17,12,17,84,22,25,14,15,10,21,10,28,7.0,2.4375163447706467,3.9503954879249004,4.46,4.612813628187807,3.642520016336326,0.199,0.394
188,18,14,20,17,16,85,20,18,16,18,14,14,22,19,3.3339500799952693,2.886746526847306,4.360964763358859,3.53,3.0978246605009896,4.5347774695515835,0.588,0.227
189,18,16,19,25,20,98,16,26,21,18,14,23,26,23,3.9720737904252568,3.3017163959102382,3.9593507073752803,3.74,2.0437943611308507,2.848661593486054,0.064,0.171
190,22,17,19,19,21,98,15,25,16,16,18,23,27,19,4.517394799360394,3.7160660496080054,6.892397638714727,5.04,2.961871562639172,4.089706534374621,0.862,0.668
191,18,17,16,16,18,85,18,21,19,18,9,13,15,20,5.026907669435428,3.824760074712491,3.8670373030932543,4.24,3.440456671283206,4.22294357136555,0.961,0.609
192,16,11,13,15,15,70,23,25,12,13,17,14,20,20,3.9629865363180037,4.097397841407549,3.904720984629029,3.99,2.0436094637401556,2.3145118754891785,0.247,0.644
193,18,16,13,21,14,82,21,16,14,18,24,15,30,23,5.860280390994235,5.7335856515526755,4.330360357056013,5.31,4.030820638090411,2.8452541425776974,0.45,0.088
194,13,10,17,13,9,62,12,21,15,11,10,18,13,20,1.0,4.190759765300552,2.1817737024086448,2.46,3.2074302656659732,5.102206184269173,0.022,0.894
195,16,12,20,15,15,78,20,22,11,18,16,22,10,20,1.1731690077261439,3.564199587902581,2.037034504387232,2.26,5.20441710171097,1.0,0.641,0.389
196,17,23,23,16,22,101,22,26,22,26,13,29,9,15,4.954027446640869,3.6828725225022523,4.850235039202715,4.5,3.50727189942285,2.492866880219259,0.414,0.313
197,16,17,16,17,13,79,15,25,15,12,17,22,21,14,5.805741693799659,4.680875449317735,4.62782047503593,5.04,3.449467029562957,2.1703860369319576,0.27,0.462
198,16,19,20,24,17,96,20,17,20,15,16,15,13,18,3.1549312595016064,6.511325947818397,3.9835475290431446,4.55,2.784147094545565,2.71374404025745,0.207,0.39
199,16,13,21,12,16,78,20,25,18,20,13,24,13,21,1.0,3.570903730347588,3.26407048696292,2.61,3.4568314528374438,3.01071358003531,0.654,0.864
200,16,19,17,18,13,83,14,23,20,17,17,24,20,15,5.527320050005265,3.6053248257022696,4.5204649961295,4.55,4.375258709536692,3.285499799028137,0.416,0.929
201,12,12,13,18,13,68,19,16,16,16,23,17,19,19,4.09374894017074,2.9618274397884115,3.2205842002772447,3.43,3.7917451019149016,3.083790360014889,0.18,0.303
202,18,12,14,17,15,76,23,25,15,17,15,21,20,24,2.612839525668534,2.2783809539281643,3.4196447160539716,2.77,3.4416873790434033,2.2929262034931153,0.689,0.864
203,10,13,15,16,10,64,21,16,14,18,18,26,18,9,2.881895936232902,4.745014704944119,3.140444780915062,3.59,4.1306728131399,6.377297943443219,0.565,0.782
204,16,15,16,16,19,82,24,13,21,20,10,22,23,13,3.205131212661863,4.636534066330745,5.5141302421483305,4.45,2.7384904120194364,4.926319859270537,0.859,0.931
205,15,13,11,18,21,78,12,11,20,16,12,15,14,15,4.098800868960989,4.8911205212594915,7.0,5.33,2.8019369649065506,1.5522967004172827,0.117,0.246
206,17,14,15,15,14,75,15,24,16,15,17,21,14,18,3.4335697673077124,3.640638523048019,4.610949872264558,3.9,1.8208212108640445,5.19060533148059,0.786,0.577
207,18,15,19,19,18,89,23,14,16,20,21,21,16,15,4.830307289971844,6.03806039677672,5.724346527740421,5.53,4.268122798704715,2.6816999488034154,0.674,0.275
208,11,12,12,8,16,59,19,29,15,22,17,15,16,20,1.0,2.3101995452757516,3.6163081148392435,2.31,3.825949800272158,3.4556911916526523,0.115,0.824
209,13,9,13,13,14,62,20,6,11,14,14,14,20,17,2.4133739051488483,4.717086520549046,2.6937863327787412,3.27,3.0205461247343477,3.479976610789997,0.695,0.005
210,14,16,10,13,17,70,35,32,24,10,15,20,18,16,3.1844385515223923,3.4957741598039207,4.39657472898763,3.69,5.201176394366518,2.5232857178991592,0.442,0.565
211,19,16,21,17,18,91,24,23,14,22,10,18,23,11,4.150028007144022,3.3065985295126983,4.635287085593452,4.03,3.457501664495877,4.11986487869569,0.945,0.339
212,19,14,19,20,17,89,26,20,15,17,18,27,14,12,3.5315677927136897,5.165097568388171,3.2162931887546247,3.97,2.5181399436770304,3.34007049720402,0.142,0.323
213,18,10,21,11,13,73,25,14,13,10,19,24,22,19,4.403330296965978,3.791341680541026,3.3814393140033765,3.86,4.598272310361579,3.162502003919255,0.643,0.645
214,17,15,23,20,19,94,23,23,22,22,14,17,26,7,2.2174704650615267,4.875675200408103,5.129857707444178,4.07,3.6544238480244733,1.628499910820297,0.382,0.851
215,16,17,17,17,17,84,18,23,17,14,14,20,21,21,4.637982822837284,4.1539248576424725,4.704940379306365,4.5,3.826093027857531,2.280167582950929,0.957,0.609
216,20,13,18,17,19,87,25,26,23,16,17,10,26,18,4.59596704383417,4.0075024691300385,5.2384566398426875,4.61,2.901310681592541,1.2783558434430136,0.33,0.853
217,22,16,15,21,20,94,19,23,17,17,14,20,13,34,6.4959494557382875,7.0,5.210083004421044,6.24,3.6149509307113004,2.8853342790948133,0.962,0.265
218,17,16,17,14,13,77,19,23,17,17,15,22,14,28,3.899752094320821,5.126107400439614,3.0382582723348266,4.02,3.5757547819947275,2.4138360661613265,0.901,0.52
219,15,14,17,19,18,83,16,18,15,19,24,16,16,15,4.489155846257657,5.197517965420161,3.9927469685079005,4.56,3.886188156168192,2.820914118163204,0.27,0.451
220,17,17,13,13,21,81,20,22,27,13,15,16,19,16,2.5847579065294486,3.6807405846805996,3.860986257082748,3.38,1.3742113133350942,4.184862156776424,0.804,0.012
221,14,8,20,15,16,73,29,18,13,20,14,29,12,20,1.0,5.036181761934754,5.986237203514877,4.01,3.1561491197916283,4.568232109415198,0.996,0.557
222,18,21,19,19,19,96,11,16,20,16,13,18,22,25,6.136773884319117,4.94584699460044,4.730651557779202,5.27,4.864909039346061,2.951258313668141,0.253,0.662
223,16,14,17,19,17,83,23,13,20,19,18,14,25,9,4.1227560516781026,4.3415996063842535,4.099462744070715,4.19,2.764126622737797,3.118655154363858,0.437,0.592
224,13,18,14,19,13,77,10,28,17,18,15,22,22,7,6.048756005094259,3.9364224076798036,2.6018943632673444,4.2,3.2630286804251636,5.612357785612995,0.52,0.736
225,10,16,16,16,15,73,14,23,16,12,13,26,18,10,2.9098221674933207,3.8269688369066057,6.984580760865603,4.57,3.2306900266242424,3.974973996093146,0.295,0.571
226,19,15,17,19,18,88,26,20,18,21,21,19,15,21,4.858993885680036,1.0,3.413980908256712,3.09,2.267388524089995,2.756200184522804,0.015,0.067
227,18,11,14,20,14,77,21,18,16,13,21,20,16,20,5.745216320987241,4.695832490913789,3.311444699595455,4.58,1.7088436050276157,2.0632010823812674,0.22,0.116
228,16,16,11,14,17,74,14,24,17,17,13,20,22,21,4.900600844289891,3.0708717675254436,4.762300425935667,4.24,3.254572208321288,3.6186825748280924,0.282,0.596
229,17,20,15,17,14,83,16,22,19,17,8,14,21,11,5.353095060001128,6.0109255462480995,4.376078844993219,5.25,3.851832995788251,4.407964903667361,0.444,0.275
230,18,15,17,13,18,81,24,17,26,24,20,16,15,7,4.291277636691094,3.5671438413535035,5.515458931032435,4.46,3.329952467949451,2.4403079829501295,0.171,0.08
231,17,17,24,15,22,95,16,24,18,18,13,29,15,21,2.843422831362434,2.3378754010993887,7.0,4.06,2.8958259459890754,2.9509969720879083,0.873,0.43
232,15,9,15,17,13,69,20,11,11,14,19,24,9,12,4.86969382337476,3.992774319210281,4.086448386929278,4.32,3.854399108986165,3.279959596071363,0.705,0.554
233,16,26,21,24,22,109,19,32,20,18,8,24,17,7,5.28491989093984,3.6624207984771,4.201171210311988,4.38,3.9633438541907386,2.456919244192126,0.085,0.329
234,10,10,9,12,8,49,13,8,22,12,19,8,23,14,4.077630053119244,3.9973665687585758,2.33534725766605,3.47,4.0780470947605485,1.632430970261144,0.65,0.72
235,15,14,16,15,11,71,29,26,12,19,11,26,11,20,2.3935879287149358,4.156196601215403,3.4966197012509808,3.35,3.4650708624473743,3.6517511320597325,0.654,0.644
236,19,17,21,12,14,83,24,25,22,12,18,19,16,17,3.2779945037064495,4.592573642638566,5.89483916275758,4.59,3.4706295865760755,4.553563091315154,0.956,0.333
237,16,17,21,19,13,86,10,24,21,14,16,20,23,14,6.180766171853616,3.337670313939257,2.1166678025630614,3.88,4.344684557773271,3.0015111871961477,0.003,0.755
238,16,14,15,11,15,71,20,26,15,12,12,18,9,16,3.743340819279851,3.329818996855341,5.191589065604627,4.09,4.9310725444571375,3.488179427212943,0.248,0.649
239,22,13,19,13,16,83,19,29,19,21,14,27,16,18,5.58956312910398,1.8662157646568271,4.325898654198115,3.93,2.9785491875178485,2.5354582146331697,0.928,0.637
240,14,14,14,17,15,74,22,26,22,22,18,20,22,9,4.042074590344449,4.9159657644971535,4.8142343169034705,4.59,3.730656048965806,3.8083032530933547,0.932,0.553
241,16,14,17,18,17,82,15,10,16,16,16,20,18,13,2.0839828805833824,4.819252763073952,4.226568131142425,3.71,3.774694944104021,2.9840845838483334,0.721,0.011
242,16,13,19,15,20,83,19,12,19,17,18,22,29,19,4.966488354166856,4.407898949911604,4.0375056183957065,4.47,2.2957074425646775,1.896144600883637,0.766,0.697
243,20,19,16,18,21,94,24,21,18,16,23,18,11,20,4.23825313979534,4.183720838628356,5.878213239689268,4.77,3.13435753970598,4.145822937560166,0.091,0.376
244,11,11,16,15,17,70,21,18,14,21,9,20,21,15,4.446093641250781,4.30833724530804,5.009142497746141,4.59,2.12546767756003,4.17495588814096,0.514,0.943
245,18,18,18,23,21,98,15,26,17,13,22,8,20,13,4.7683155414607805,6.791289280044424,6.1070434665273226,5.89,1.4984443785157513,2.1315465267715052,0.232,0.818
246,14,16,13,18,22,83,17,18,16,16,16,14,22,15,2.7213976084347653,3.8314449742104197,5.279943019104902,3.94,3.3635483468380976,3.1657734261089,0.181,0.588
247,22,13,16,17,20,88,20,21,19,20,12,19,20,9,4.158486695395086,4.224409646343163,4.288502948303864,4.22,2.8521778446749693,3.431345902817412,0.81,0.252
248,10,14,11,14,11,60,13,16,12,16,10,9,13,14,6.567261513255239,2.3365571889494245,1.565473807120541,3.49,4.174814093415213,4.550093737737024,0.135,0.204
249,19,16,20,15,16,86,29,19,18,18,15,23,18,25,4.981960089493367,2.731912720476717,4.98746278878222,4.23,3.536432467222096,1.5599502123885691,0.469,0.34
250,20,19,18,16,15,88,23,16,11,21,19,18,9,12,4.829316052693999,4.046569706469095,4.385983877418741,4.42,2.7475966734597264,4.480087874460691,0.939,0.477
251,16,17,14,14,20,81,13,18,20,5,15,24,19,14,5.781364417900081,5.027416861494585,3.909891571595164,4.91,3.1617412440659542,2.2803391528066284,0.186,0.296
252,20,19,18,25,17,99,26,17,21,19,22,26,24,20,5.127066805320639,4.760544456416107,3.77489722582487,4.55,2.3380831653851635,2.8371772639252177,0.978,0.515
253,15,16,17,15,13,76,29,16,9,14,10,16,19,22,4.667260419766143,3.508855019654453,3.079899502861248,3.75,5.086664515319343,6.400419176041661,0.994,0.165
254,18,18,21,17,22,96,25,29,22,11,15,21,22,15,3.5283608055229134,3.554133063633381,3.759458364195474,3.61,1.7886580207622305,2.9620906767415964,0.556,0.978
255,11,14,13,13,13,64,9,15,20,17,10,15,17,11,4.388556463697059,2.886337176160145,2.7168449608142233,3.33,3.6360666525543004,3.256308434480647,0.17,0.108
256,15,16,16,21,14,82,16,37,12,21,17,16,21,7,5.584216866750307,4.927167133982557,2.5820919718122957,4.36,2.774797475649758,1.2530273436042734,0.316,0.932
257,18,14,17,18,13,80,26,23,21,16,19,19,14,18,3.2007006415840036,2.3420968252072134,3.136055682771204,2.89,4.336524876475039,5.102815008135637,0.424,0.914
258,25,16,26,15,18,100,21,23,20,24,14,22,14,31,6.016157952773026,5.37256980914055,3.7601791706433394,5.05,3.074960847779722,1.6984580073632864,0.309,0.525
259,15,16,13,21,13,78,21,17,13,21,5,10,25,17,4.332811792724312,3.7471606483947735,1.8795452429736432,3.32,3.340891680150973,2.614723989734334,0.281,0.725
260,18,20,17,17,16,88,24,29,17,22,16,21,24,17,4.060387351201927,4.941041315449078,6.232273346925096,5.08,4.33278014508542,2.976891502096597,0.972,0.436
261,18,20,20,16,16,90,16,22,19,24,17,24,16,19,6.153633401341863,2.365980994403454,5.435604269567363,4.65,3.5796970260536005,4.793952599100437,0.153,0.63
262,20,17,19,20,20,96,21,23,19,20,17,17,20,18,4.269066323262785,5.258857118534932,4.103110936525085,4.54,3.675423427099563,3.676524217950922,0.733,0.341
263,16,14,17,21,14,82,5,35,18,17,20,22,16,13,4.972172224217953,5.390342537403676,4.036955961244814,4.8,2.8305133772089115,3.381663715644551,0.0,0.301
264,21,17,23,18,20,99,17,22,16,12,11,21,24,23,4.263554657487711,4.653788940838942,5.34095631177976,4.75,1.9188427530045458,3.19314159925665,0.596,0.578
265,17,16,14,18,16,81,19,28,18,14,18,17,21,18,4.368206074019735,2.9599076182888364,5.372024980709912,4.23,3.650800315654725,2.69719121747865,0.916,0.498
266,22,18,24,21,24,109,16,20,16,16,20,28,29,20,5.2882951603023765,4.871356953634088,4.831452037830185,5.0,2.561946537371055,2.5690614000338368,0.288,0.58
267,14,14,14,16,10,68,26,20,14,24,8,16,13,11,4.451894513909549,2.4728044825829905,4.115681644729922,3.68,4.649991556512891,4.070759277240339,0.186,0.287
268,17,16,18,15,19,85,13,32,16,16,17,21,15,23,2.2191105160635862,3.4881559619953806,4.149890576802877,3.29,3.217480668967576,3.9919955548004875,0.652,0.367
269,15,14,16,20,18,83,17,17,16,17,13,15,21,19,2.884080969522614,5.701882119384785,3.142371075385501,3.91,3.565429885662336,4.102529542213242,0.713,0.084
270,21,15,26,17,21,100,23,31,24,22,15,25,21,16,5.313645395917091,5.03294387716981,5.8505527843531775,5.4,1.6316123920090981,3.2740002724332724,0.688,0.052
271,23,16,18,16,20,93,30,26,23,17,17,18,16,25,4.287924209888187,3.945044317357493,6.244438224716157,4.83,4.929502325575431,2.495911823117354,0.319,0.253
272,20,22,27,24,23,116,15,23,23,27,14,23,18,16,4.770254781423326,3.7500427587043434,7.0,5.17,2.7907041985135224,3.307294228886621,0.252,0.074
273,14,17,16,18,17,82,24,26,14,14,13,17,22,12,3.079134796827417,4.974945497100805,3.0908905107471165,3.71,4.103098965379845,3.1135777791520147,0.956,0.104
274,17,17,16,16,16,82,20,28,16,17,16,11,20,13,3.3887112314342698,3.950202634448344,4.862845287002094,4.07,2.7884452807579967,2.1965704365757994,0.923,0.813
275,9,19,17,16,20,81,11,28,24,14,11,16,13,6,2.648495142625632,1.0754885604856348,4.48509249117664,2.74,3.4846918259452924,2.4533483515603782,0.457,0.039
276,16,14,20,18,19,87,21,12,19,12,11,20,24,19,4.0164835191378785,5.14332495900413,5.527174602009667,4.9,2.099484595436156,3.0726933423463203,0.846,0.659
277,12,11,20,17,12,72,18,14,23,15,18,20,23,6,3.0059735535204943,4.024286398627642,1.8491473569757857,2.96,4.315747348949053,4.716441943405314,0.452,0.273
278,14,14,17,20,12,77,15,19,16,16,11,17,20,10,3.055785898202157,5.914488807975573,2.0640477263953896,3.68,3.577043551586502,3.5793321911899256,0.424,0.872
279,15,10,18,18,13,74,19,17,16,15,18,19,19,6,3.441899882010127,2.8360061351161163,2.7600977659622306,3.01,3.8417372428773557,2.400806022233965,0.157,0.485
280,20,12,14,14,16,76,20,22,16,13,17,18,19,18,4.227325556334269,1.0,4.2214586130953915,3.15,4.190872712421264,3.380373002311236,0.426,0.306
281,19,16,17,24,20,96,21,23,20,11,9,22,18,17,6.758577000821967,5.29065965540888,4.24581742841587,5.43,2.0763363176466028,2.9905805324558,0.537,0.518
282,18,14,24,20,15,91,23,13,16,19,13,21,20,16,2.4503776295649593,4.795309057502525,4.629278072565503,3.96,3.014456321434439,3.6267763390412693,0.023,0.382
283,14,11,12,15,10,62,26,20,16,9,20,9,7,11,4.957572042577856,1.721441842435624,4.04821518194894,3.58,4.495392537853798,4.950858260891987,0.444,0.564
284,15,13,13,16,15,72,13,23,20,18,12,11,21,10,5.0564554043814605,2.724136979873125,4.567745236645158,4.12,5.558384741499944,4.492892917668998,0.781,0.115
285,14,19,16,14,12,75,28,27,12,16,14,16,9,17,4.02819548541153,7.0,5.045216714646563,5.36,3.7762379973503792,3.1523663542536924,0.68,0.997
286,21,24,18,21,20,104,13,34,15,11,17,18,27,16,5.883060133248883,4.189250279845075,5.339261212037718,5.14,3.743522964298373,2.232053182346898,0.635,0.426
287,15,15,18,19,13,80,18,26,9,16,19,16,17,17,3.7736961410816514,5.207509605561517,2.30383034398612,3.76,3.71725933612626,2.5765066946121573,0.91,0.348
288,13,14,16,20,14,77,21,23,18,13,14,12,19,11,4.335087977504742,3.637627803111645,5.165623932493623,4.38,5.503213062074692,4.272282292502987,0.018,0.71
289,12,14,16,14,12,68,19,20,11,17,13,16,13,15,5.804425153410964,1.1027560573276571,2.7443940840727676,3.22,2.3051790065414055,5.276401362528036,0.557,0.364
290,22,15,18,19,19,93,19,12,11,22,21,20,18,26,4.954145897572849,4.10021151660957,5.658626677572375,4.9,3.3770337797873204,2.6572403579985258,0.787,0.833
291,19,15,9,19,15,77,20,24,18,6,22,15,25,21,4.846455107823067,3.983062412041084,5.575577200933487,4.8,2.1541557723868516,3.1825674113489844,0.541,0.454
292,18,18,18,24,22,100,18,25,29,17,19,17,11,16,4.262579342303453,4.456439654766115,5.766182680274934,4.83,1.0,4.173187275379949,0.324,0.72
293,16,15,19,13,19,82,16,23,19,17,16,18,21,18,2.6341210109872852,3.4025206773705907,3.1688572165661593,3.07,3.5624689892763977,3.5104176425035623,0.136,0.107
294,12,17,16,17,14,76,21,16,19,19,12,14,19,13,4.356026917691163,4.378758899356398,2.805163793594744,3.85,3.8551591589314036,3.999291307827182,0.888,0.846
295,16,12,15,12,14,69,21,13,16,16,12,17,10,16,5.162854453537513,3.2312612145726587,5.123587290514515,4.51,3.467236613711387,2.307624224903322,0.471,0.736
296,13,13,19,13,13,71,14,26,15,14,18,16,11,13,2.2805592161508077,1.990330582245834,3.3878245106382665,2.55,3.7179700089366587,4.363587112058209,0.878,0.212
297,15,14,19,14,10,72,23,20,17,16,17,23,24,15,2.9575281218767207,4.2684078252366415,3.0681464800573455,3.43,6.909745456403627,3.0285391894888916,0.586,0.145
298,10,13,17,12,16,68,18,24,16,13,21,11,11,14,4.116267611129009,1.0205717660618832,4.924820844248228,3.35,3.3167707610602157,2.1423986785562854,0.674,0.316
299,13,20,14,24,17,88,22,25,19,19,18,15,17,10,3.952821558899825,2.4285462261479998,5.052482477238425,3.81,3.9317225338894457,2.8486719935021783,0.804,0.976
300,10,12,11,17,10,60,19,19,15,14,9,15,23,9,2.9433409264626365,4.9622690492831705,3.274259742556608,3.73,3.483668494488827,3.385496019506447,0.659,0.257
301,15,14,15,15,15,74,15,26,14,23,20,18,18,9,3.658633712603244,4.421678786558596,3.7315593476253732,3.94,3.9101104263416433,3.2031845548206803,0.398,0.456
302,15,15,16,21,17,84,16,18,21,16,12,29,16,8,2.765616877030334,4.494224778653854,4.008611693948495,3.76,3.247581145041825,1.7110776588994023,0.514,0.03
303,16,19,20,20,19,94,23,25,18,15,14,22,20,11,3.811666598381063,2.7225286927767103,5.604291468514051,4.05,2.9152403051790303,3.9816473162532695,0.803,0.397
304,12,19,20,18,15,84,20,22,14,12,17,17,14,15,5.674147481401384,3.3119430231548703,4.520146791297025,4.5,5.303030517394539,4.605968312701655,0.374,0.571
305,11,14,15,14,10,64,17,18,16,9,23,17,21,10,2.6774366106149485,3.3482185070091353,2.719627678446516,2.92,5.153481932147222,1.9699622545906719,0.388,0.953
306,13,15,13,15,7,63,18,19,9,9,28,8,21,17,2.5077586574273583,1.8378922586321242,3.5283703325215865,2.62,4.464583392539207,5.348334053678997,0.096,0.517
307,18,10,19,14,16,77,26,19,17,18,18,20,18,18,2.818054958761984,2.7630254641354766,4.006270235005573,3.2,1.4463045020656624,2.478716334309073,0.915,0.819
308,23,21,26,18,16,104,20,23,17,22,15,22,20,11,6.011517990665929,4.983229955825186,3.2586618935378393,4.75,3.222760874787913,4.21233528583803,0.091,0.547
309,18,19,17,19,12,85,23,31,19,10,18,22,27,20,4.674544258042638,6.06308915370936,2.5852624611932864,4.44,6.3735520875569875,3.69897673811856,0.648,0.041
310,16,11,13,17,20,77,18,13,21,18,19,13,18,20,3.1545862399563585,3.5387138660868738,3.8964854204457273,3.53,2.9922436963443286,2.9025425647564176,0.413,0.315
311,14,18,18,16,17,83,17,22,18,15,14,19,12,11,4.789574316798076,4.855863645576389,4.050261802946628,4.57,4.473922381115395,3.0167561218623433,0.406,0.576
312,15,17,13,15,14,74,24,20,19,15,23,13,19,18,2.6493242449357304,1.446971282345599,5.031489793509661,3.04,5.0458409159034625,4.805948167678949,0.68,0.951
313,21,16,15,14,20,86,26,30,24,22,16,24,25,15,4.983868806824806,4.481295022168756,4.0761337730011125,4.51,3.403286880952243,1.5838897076261538,0.067,0.859
314,16,16,18,18,15,83,23,23,19,20,17,18,14,17,4.860331841437014,3.1939447107027368,4.1424322195607965,4.07,2.870626908332326,4.065511012048887,0.594,0.228
315,13,12,17,12,15,69,24,25,17,15,18,26,13,9,3.3688010690327177,3.793331506003808,3.268050889362894,3.48,1.4138737398394352,4.578567190281868,0.772,0.22
316,18,12,22,15,14,81,20,11,11,15,17,26,19,9,4.940047680831796,3.494312624265656,3.4858097469877856,3.97,4.353086800061801,4.29050152718065,0.828,0.201
317,13,18,12,17,18,78,21,25,14,6,19,17,18,13,3.4885355097949913,5.6764129248518875,2.9621711399249913,4.04,2.633110331521794,5.513874604346183,0.171,0.922
318,14,15,17,12,16,74,17,26,16,14,13,20,11,15,5.534026702459327,2.3413129441073077,3.911602946552488,3.93,3.713826846361552,2.77146262599699,0.897,0.853
319,27,12,21,15,20,95,27,19,17,17,13,23,22,20,3.9947560959048993,4.569839154642844,4.708658499189607,4.42,2.0605390895362303,3.8678870308462985,0.656,0.775
320,19,17,19,25,16,96,20,29,16,13,11,12,33,13,4.213822666472423,4.732006594105025,4.698729859547759,4.55,3.310314383793378,3.2110845536630808,0.882,0.393
321,16,20,18,17,14,85,20,22,16,16,17,18,19,15,5.023959051706933,3.8595554338615905,3.9861167572804432,4.29,3.7584572977419177,4.828068645378122,0.485,0.504
322,20,15,20,22,17,94,24,29,20,18,19,25,17,20,4.162688835648781,4.466520088259285,3.09226973575083,3.91,3.710917524251076,3.201198841911853,0.542,0.464
323,18,12,20,17,15,82,16,32,16,17,17,21,11,17,5.1780366825752955,3.015007815769408,5.069118626793705,4.42,2.6210525466976473,3.0303157955243383,0.919,0.253
324,5,11,10,7,11,44,24,16,16,11,22,7,13,11,2.4750112189344913,2.7600271485636094,3.395718910822983,2.88,5.0840953288583925,5.240182526718257,0.9,0.505
325,14,11,20,16,18,79,13,16,18,18,15,21,22,12,2.8238037251957433,3.849415541435887,4.729664165010509,3.8,2.832276865574115,2.585951973028361,0.448,0.03
326,15,10,17,13,15,70,13,26,10,18,18,26,18,21,4.668076862227871,3.839780900520904,3.937941329393457,4.15,2.1094286392775006,1.964831595822402,0.274,0.132
327,16,13,14,11,16,70,25,29,14,11,11,21,14,11,3.314894259067118,3.3918631799138717,3.604109258976892,3.44,3.453123761359057,2.784042253033728,0.393,0.887
328,23,13,16,19,16,87,27,17,17,22,14,17,16,22,4.975887056096965,5.2898741678751104,4.365096360685882,4.88,3.5842174369136757,3.964958522232165,0.388,0.752
